Power	Flavor Text	Power Set	Prerequisites	Action	Trigger	Duration	Range	Cost	Effect	Rank Can Learn
Accuracy 1	The character is an ace with ranged attacks.	None	None	None	None	Permanent	None	0	The character adds +1 to their Agility damage multiplier, and they gain a +1 bonus to Agility checks other than attacks.	1
Accuracy 2	The character is a sharpshooter.	None	Accuracy 1, Rank 2	None	None	Permanent	None	0	The character adds +2 to their Agility damage multiplier, and they gain a +2 bonus to Agility checks other than attacks.	2
Advance	The character can advance their allies on the battlefield.	Tactics	Rally on Me, Scatter, Rank 4	Reaction	The character (or an ally in line of sight) stuns or defeats an enemy.	1 Round	None	15	Any allies in earshot can be affected, up to a number equal to the character's Ego defense. Each affected ally can immediately use a free movement action to move toward the enemy that triggered the reaction.	4
Always Ready	The character is prepared to fight.	Martial Arts	Do This All Day, Rank 3	None	None	Permanent	None	0	The character gains one additional reaction per round, which can be used only to activate a Martial Arts power.	3
Anger	You won't like them when they're angry.	None	Mighty 3, Rank 4	Standard/Reaction	The character is harmed by an attack.	Permanent	None	10	The character becomes angry and uses that anger to increase their strength. For every 10 points of Focus they spend, they add +15 to their Melee damage bonus and lose -2 from their Logic—and subsequently their Logic defense. While using this power, they cannot use any other powers that require concentration.	4
Attack Stance	The character enters an aggressive attack stance, ready to strike in any direction.	Martial Arts	None	Standard	None	Concentration	None	0	The character doubles their Melee ability bonus to damage.	1
Banging Heads	The character takes two nearby enemies and slams their heads into each other.	Martial Arts	None	Standard	None	Instant	None	0	The character makes one Melee check against the Melee defense scores of two enemies within reach. If the attack fails against either foe, it fails entirely. If the attack is a success against both foes, each enemy takes full damage. On a fantastic Success, each enemy is also knocked prone.	1
Battle Plan	The character always has a plan.	Tactics	Inspiration, Rank 2	Standard	None	1 Round	None	10	The character inspires one or more allies of their choice in earshot, up to the character's Vigilance. Inspired allies gain an edge on all action checks until the start of the character's next turn.	2
Brace for Impact	The character mentally toughens themselves for a fight.	Martial Arts	Do This All Day, Rank 2	Reaction	An enemy deals physical damage to the character.	Instant	None	5	For every point of Focus spent, the character can ignore 1 point of Health damage dealt by the attack.	2
Brace for Impact	The character mentally toughens themselves for a fight.	Shield Bearer	Do This All Day, Rank 3	Reaction	An enemy deals physical damage to the character.	Instant	None	0	For every point of Focus spent, the character can ignore 1 point of Health damage dealt by the attack.	3
Brawling	The character has the moves and is hard to hit.	None	None	None	None	Permanent	None	0	The character can use their Melee defense score against Agility attacks too.	1
Brilliance 1	The character puts their brain to work.	None	None	None	None	Permanent	None	0	The character adds +1 to their Logic damage multiplier, and they gain a +1 bonus to Logic checks other than attacks.	1
Brilliance 2	Everything makes more sense to the character.	None	Brilliance 1, Rank 2	None	None	Permanent	None	0	The character adds +2 to their Logic damage multiplier, and they gain a +2 bonus to Logic checks other than attacks.	2
Chain Strikes	The character unleashes a hail of strikes.	Martial Arts	Fast Strikes, Rank 2	Standard	None	Instant	None	5	The character makes a close attack with an edge. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the character can also make an additional Chain Strike.	2
Change of Plans	The character thinks of a better way.	Tactics	Inspiration, Rank 2	Reaction	An ally has trouble on an action check.	1 Round	None	5	The ally gains an edge on that action check.	2
Combat Support	The character gives a friend a hand.	Tactics	Change of Plans, Rank 3	Standard	None	1 Round	None	10	Once per battle, the character chooses an ally in earshot. If the ally makes an action check before the start of the character's next turn, the ally automatically rolls a1on their Marvel die, and that die cannot be affected by trouble.	3
Combat Trickery	The character is a tricky one!	None	Rank 2	Reaction	The character makes an attack.	Instant	None	5	Once per battle, when the character is attacking targets of equal or higher rank, the character automatically rolls a 1 on their Marvel die, and that die cannot be affected by trouble. If the character is attacking multiple targets, all the targets must be of equal or higher rank.	2
Counterstrike Technique	The character counters an enemy's strike with one of their own.	Martial Arts	Attack Stance, Rank 2	Reaction	 While Attack Stance is active, a close attack against the character does damage.	Instant	None	5	The character deals half the attacker's regular damage to the attacker.	2
Covering Fire	The character covers an ally’s attack.	Ranged weapons	Return Fire, Rank 3	Reaction	An ally within the character's line of sight begins its turn.	Instant	None	10	The character makes an Agility attack against a target's Vigilance defense. If the attack is a success, apply Health Damage Reduction normally. The target takes any damage to their Focus. If it's a Fantastic success, the damage is doubled, and if the target takes any Focus damage, they are stunned for one round.	3
Crushing Grip	The character seizes an enemy and squeezes hard.	Martial Arts	Rank 2	Reaction	The target is grabbed.	Instant	None	5	The character makes a Melee attack against the grabbed target's Resilience defense. If it’s a success, the target takes regular damage. On a Fantastic success, the target takes double damage instead and is pinned.	2
Dance of Death	The character spins about, shooting at every enemy around them.	Ranged weapons	Slow-Motion Shoot-Dodge, Rank 3	Standard	None	Instant	None	10	The character makes an Agility check and compares that against the Agility defense of every enemy within 10 spaces and in their line of sight. Each success does half the regular damage. On a Fantastic success, each enemy takes full damage instead and is bleeding.	3
Defense Stance	The character enters a fluid defensive stance, hands poised to parry and counterattack.	Martial Arts	None	Standard	None	Concentration	None	0	Any close attacks made against the character have trouble until they are successfully attacked in this combat.	1
Discipline 1	The character works to hone their power.	None	None	None	None	Instant	None	0	The character adds +1 to their Ego damage multiplier, and they gain a +1 bonus to Ego checks other than attacks.	1
Discipline 2	The character is more in touch with their power than ever.	None	Discipline 1, Rank 2	None	None	Instant	None	0	The character adds +2 to their Ego damage multiplier, and they gain a +2 bonus to Ego checks other than attacks.	2
Disguise	The character appears to be someone else.	None	None	Standard	None	Instant	None	0	The character instantly alters their appearance so that they appear to be someone else. The target number for anyone trying to see through the disguise is the character's Ego defense. If the character is impersonating someone known to the other person, that person has an edge.	1
Do This All Day	The character draws on their inner strength to heal themselves.	Martial Arts	Rank 2	Standard	None	Instant	None	5	The character heals 2 points of Health for every point of Focus they spend.	2
Do This All Day	The character draws on their inner strength to heal themselves.	Shield Bearer	Rank 2	Standard	None	Instant	None	5	The character heals 2 points of Health for every point of Focus they spend.	2
Double Tap	To be twice as sure.	Ranged weapons	None	Standard	None	Instant	None	0	The character makes a ranged attack against an enemy within 2 spaces. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the enemy takes double damage and is bleeding.	1
Evasion	The character can dodge fists quickly.	None	None	None	None	Permanent	None	0	The character can use their Agility defense score against Melee attacks too.	1
Exploit	The character finds a weak point and you know... exploits it.	Melee Weapons	Vicious Attack, Rank 2	Reaction	A Fantastic success on an attack using the character's weapon that deals at least 1 point of damage	Instant	None	5	The character makes a Melee attack against the target's Resilience defense score. If the attack is a success, the damage it does ignores Health Damage Reduction. On a Fantastic success, the target suffers double damage and the weapon's special effect.	2
Fast Attacks	The character's weapons lash out!	Melee Weapons	None	Standard	None	Instant	None	0	The character splits their attack to make two close attacks against separate targets within reach (or they can focus a single attack on a single target). Make a single Melee check and compare it to the targets’ Melee defenses. On a success, the affected target takes half regular damage. On a Fantastic success, the affected target takes full damage, and the character can make a bonus attack with this power against any target within reach, with the same effect.	1
Fast Hands	The character can shoot faster than the eye can blink.	Ranged weapons	Point-Blank Parry, Rank 3	None	None	Permanent	None	0	The character gains one additional reaction per round. This reaction can be used only to trigger a Ranged Weapons power.	3
Fast Strikes	The character unleashes a flurry of strikes.	Martial Arts	None	Standard	None	Instant	None	0	The character splits their attack to make two close attacks against separate targets within reach (or they can focus a single attack on a single target). Make a single Melee check and compare it to the targets’ Melee defenses. On a success, the affected target takes half regular damage. On a Fantastic success, the affected target takes full damage.	1
Flying Double Kick	The character leaps into the air and snap kicks two enemies at once.	Martial Arts	Leg Sweep, Rank 3	Standard	None	Instant	None	10	The character makes a close attack against two enemies within reach. If an attack is a success, the enemy takes regular damage. If an attack is a Fantastic success, the enemy takes double damage and is knocked prone.	3
Focus Fire	The character calls out a target.	Tactics	Battle Plan, Rank 3	Standard	None	Concentration	None	10	The character calls out an enemy in line of sight and inspires one or more allies of their choice in earshot, up to the character's Vigilance. They gain an edge on all action checks against that enemy.	3
Focused Fury	The character channels their rage into a devastating blow.	Melee Weapons	Exploit, Rank 3	Standard	None	Instant	None	5	The character makes a close attack with an edge. For this attack, add +1 to the character's Melee damage bonus for every 2 points of Focus they spend. On a success, an affected target takes that total damage. On a Fantastic success, an affected target takes double that total damage and suffers the weapon's special effect.	3
Focused Strike	The character finds the right spot and strikes.	Martial Arts	Chain Strikes, Rank 3	Standard	None	Instant	None	10	The character makes a close attack. Add +1 to the character’s Melee damage bonus for every 2 points of Focus they spend. On a success, an affected target takes that total damage. On a Fantastic success, an affected target takes double that total damage and is stunned for one round.	3
