Power	Flavor Text	Power Set	Prerequisites	Action	Trigger	Duration	Range	Cost	Effect	Rank
Accuracy 1	The character is an ace with ranged attacks.	None	None	None	None	Permanent	None	0	The character adds +1 to their Agility damage multiplier, and they gain a +1 bonus to Agility checks other than attacks.	1
Additional Limbs	The character has extra limbs that can grab objects and attack foes.	None	None	None	None	Permanent	None	0	The character has an additional prehensile appendage (like a tail) or a symmetrical pair of them (like arms) that can be used to lift objects, use tools or otherwise take actions that normally require the use of a hand. This grants them an edge in Melee and Agility checks. A character can have as many additional limbs as they like—within reason—but they get no additional advantages for them.	1
Animal Bond	The character can communicate with an animal friend.	Telepathy	None	Standard	None	Concentration	None	0	The character can communicate telepathically with one animal of their choice, and they must have befriended the animal before. They cannot switch to another animal unless the animal dies, but they can select this power multiple times if desired.                                                                           The communication can be verbal, visual or even more complex, such as imparting location information. There is no limit to the distance of the communication, as long as the character and the animal are in the same dimension.Animals with a telepathic bond are generally willing to communicate, even if they aren't friendly. Bonded animals often do whatever the character asks, even if it might put them in danger.	1
Animal Communication	The character can communicate with a type of animal.	Telepathy	None	Standard	None	Concentration	None	0	The character can communicate telepathically with one taxonomic order of animals, such as birds,mammals, ifsh, amphibians and so on. They can call out to them as a group up to 500 spaces per rank away, and they can communicate speciifcally with ones they have met or at least seen.They cannot switch to another taxonomic order, but they can select this power multiple times if desired.The communication with the animals can be verbal,visual or even more complex, such as imparting location information. There is no limit to the distance of the communication, as long as the character and the animals are in the same dimension.Friendly animals often do whatever the character asks,as long as it doesn't put them in danger—and they may be willing to risk even that for one they consider a friend. Hostile Animals simply ignore all such requests—which make them poor choice for communication.	1
Attack Stance	The character enters an aggressive attack stance, ready to strike in any direction.	Martial Arts	None	Standard	None	Concentration	None	0	The character doubles their Melee ability bonus to damage.	1
Banging Heads	The character takes two nearby enemies and slams their heads into each other.	Martial Arts	None	Standard	None	Instant	None	0	The character makes one Melee check against the Melee defense scores of two enemies within reach. If the attack fails against either foe, it fails entirely. If the attack is a success against both foes, each enemy takes full damage. On a fantastic Success, each enemy is also knocked prone.	1
Banging Heads	The character takes two nearby enemies and slams their heads into each other.	Super-Strength	None	Standard	None	Instant	None	0	The character makes one Melee check against the Melee defense scores of two enemies within reach. If the attack fails against either foe, it fails entirely. If the attack is a success against both foes, each enemy takes full damage. On a fantastic Success, each enemy is also knocked prone.	1
Blink	The character teleports a short distance away.	Teleportation	None	Standard/Movement/Reaction	The character is attacked.	Instant	None	0	The character teleports into a clear space they can see or have been to, up to their rank in spaces away.If someone was about to attack them and they are now out of reach or line of sight, the attack automatically fails. If they are still within reach or line of sight, the attack has trouble instead.	1
Brawling	The character has the moves and is hard to hit.	None	None	None	None	Permanent	None	0	The character can use their Melee defense score against Agility attacks too.	1
Brilliance 1	The character puts their brain to work.	None	None	None	None	Permanent	None	0	The character adds +1 to their Logic damage multiplier, and they gain a +1 bonus to Logic checks other than attacks.	1
Clobber	The character pummels their foe with enough force to knock them flat.	Super-Strength	None	Standard	None	Instant	None	0	The character makes a close attack against an enemy. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the enemy takes double damage and is knocked prone.	1
Control Fog	The character can create or dispel a thick fog.	Weather Control	None	Standard	None	Concentration	None	0	The character creates a thick fog for up to 50 spaces per rank around them that blocks all line of sight beyond 10 spaces. They can also dispel any fog in a similar area.	1
